CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,,19,15,39,2
2,,21,15,81,2
3,,20,16,6,3
4,,23,16,77,2
5,,31,17,40,2
6,,22,17,76,2
7,,35,18,6,3
8,,23,18,94,2
9,,64,19,3,0
10,,30,19,72,2
11,,67,19,14,0
12,,35,19,99,2
13,,58,20,15,0
14,,24,20,77,2
15,,37,20,13,3
16,,22,20,79,2
17,,35,21,35,3
18,,20,21,66,2
19,,52,23,29,0
20,,35,23,98,2
21,,35,24,35,3
22,,25,24,73,2
23,,46,25,5,0
24,,31,25,73,2
25,,54,28,14,0
26,,29,28,82,2
27,,45,28,32,0
28,,35,28,61,2
29,,40,29,31,0
30,,23,29,87,2
31,,60,30,4,0
32,,21,30,73,2
33,,53,33,4,0
34,,18,33,92,2
35,,49,33,14,0
36,,21,33,81,2
37,,42,34,17,0
38,,30,34,73,2
39,,36,37,26,3
40,,20,37,75,2
41,,65,38,35,0
42,,24,38,92,2
43,,48,39,36,0
44,,31,39,61,2
45,,49,39,28,0
46,,24,39,65,2
47,,50,40,55,0
48,,27,40,47,3
49,,29,40,42,3
50,,31,40,42,3
51,,49,42,52,0
52,,33,42,60,2
53,,31,43,54,3
54,,59,43,60,0
55,,50,43,45,0
56,,47,43,41,0
57,,51,44,50,0
58,,69,44,46,0
59,,27,46,51,3
60,,53,46,46,0
61,,70,46,56,0
62,,19,46,55,3
63,,67,47,52,0
64,,54,47,59,0
65,,63,48,51,0
66,,18,48,59,3
67,,43,48,50,0
68,,68,48,48,0
69,,19,48,59,3
70,,32,48,47,3
71,,70,49,55,0
72,,47,49,42,0
73,,60,50,49,0
74,,60,50,56,0
75,,59,54,47,0
76,,26,54,54,3
77,,45,54,53,0
78,,40,54,48,3
79,,23,54,52,3
80,,49,54,42,0
81,,57,54,51,0
82,,38,54,55,3
83,,67,54,41,0
84,,46,54,44,0
85,,21,54,57,3
86,,48,54,46,0
87,,55,57,58,0
88,,22,57,55,3
89,,34,58,60,3
90,,50,58,46,0
91,,68,59,55,0
92,,18,59,41,3
93,,48,60,49,0
94,,40,60,40,3
95,,32,60,42,3
96,,24,60,52,3
97,,47,60,47,0
98,,27,60,50,3
99,,48,61,42,0
100,,20,61,49,3
101,,23,62,41,3
102,,49,62,48,0
103,,67,62,59,0
104,,26,62,55,3
105,,49,62,56,0
106,,21,62,42,3
107,,66,63,50,0
108,,54,63,46,0
109,,68,63,43,0
110,,66,63,48,0
111,,65,63,52,0
112,,19,63,54,3
113,,38,64,42,3
114,,19,64,46,3
115,,18,65,48,3
116,,19,65,50,3
117,,63,65,43,0
118,,49,65,59,0
119,,51,67,43,0
120,,50,67,57,0
121,,27,67,56,3
122,,38,67,40,3
123,,40,69,58,1
124,,39,69,91,1
125,,23,70,29,3
126,,31,70,77,1
127,,43,71,35,4
128,,40,71,95,1
129,,59,71,11,4
130,,38,71,75,1
131,,47,71,9,4
132,,39,71,75,1
133,,25,72,34,3
134,,31,72,71,1
135,,20,73,5,3
136,,29,73,88,1
137,,44,73,7,4
138,,32,73,73,1
139,,19,74,10,3
140,,35,74,72,1
141,,57,75,5,4
142,,32,75,93,1
143,,28,76,40,3
144,,32,76,87,1
145,,25,77,12,3
146,,28,77,97,1
147,,48,77,36,4
148,,32,77,74,1
149,,34,78,22,4
150,,34,78,90,1
151,,43,78,17,4
152,,39,78,88,1
153,,44,78,20,4
154,,38,78,76,1
155,,47,78,16,4
156,,27,78,89,1
157,,37,78,1,4
158,,30,78,78,1
159,,34,78,1,4
160,,30,78,73,1
161,,56,79,35,4
162,,29,79,83,1
163,,19,81,5,3
164,,31,81,93,1
165,,50,85,26,4
166,,36,85,75,1
167,,42,86,20,4
168,,33,86,95,1
169,,36,87,27,4
170,,32,87,63,1
171,,40,87,13,4
172,,28,87,75,1
173,,36,87,10,4
174,,36,87,92,1
175,,52,88,13,4
176,,30,88,86,1
177,,58,88,15,4
178,,27,88,69,1
179,,59,93,14,4
180,,35,93,90,1
181,,37,97,32,4
182,,32,97,86,1
183,,46,98,15,4
184,,29,98,88,1
185,,41,99,39,4
186,,30,99,97,1
187,,54,101,24,4
188,,28,101,68,1
189,,41,103,17,4
190,,36,103,85,1
191,,34,103,23,4
192,,32,103,69,1
193,,33,113,8,4
194,,38,113,91,1
195,,47,120,16,4
196,,35,120,79,1
197,,45,126,28,4
198,,32,126,74,1
199,,32,137,18,4
200,,30,137,83,1
